REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,"2014/04/15 16:00:00",8413.8,49.14,TRADE
NSW1,"2014/04/15 16:30:00",8458.55,48.79,TRADE
NSW1,"2014/04/15 17:00:00",8494.39,48.8,TRADE
NSW1,"2014/04/15 17:30:00",8666.84,48.91,TRADE
NSW1,"2014/04/15 18:00:00",8985.42,50.61,TRADE
NSW1,"2014/04/15 18:30:00",9071.96,50.9,TRADE
NSW1,"2014/04/15 19:00:00",8913.82,48.93,TRADE
NSW1,"2014/04/15 19:30:00",8609.51,48.66,TRADE
NSW1,"2014/04/15 20:00:00",8405.81,48.66,TRADE
NSW1,"2014/04/15 20:30:00",8231.84,48.64,TRADE
NSW1,"2014/04/15 21:00:00",8048.76,48.65,TRADE
NSW1,"2014/04/15 21:30:00",7830.66,48.64,TRADE
NSW1,"2014/04/15 22:00:00",7613.26,46.16,TRADE
NSW1,"2014/04/15 22:30:00",7726.44,48.8,TRADE
NSW1,"2014/04/15 23:00:00",7606.49,48.16,TRADE
NSW1,"2014/04/15 23:30:00",7549.88,48.68,TRADE
NSW1,"2014/04/16 00:00:00",7534.43,51.12,TRADE
NSW1,"2014/04/16 00:30:00",7362.48,48.78,TRADE
NSW1,"2014/04/16 01:00:00",7166.47,48.63,TRADE
NSW1,"2014/04/16 01:30:00",6953.74,47.96,TRADE
NSW1,"2014/04/16 02:00:00",6725.64,46.15,TRADE
NSW1,"2014/04/16 02:30:00",6437.79,45.97,TRADE
NSW1,"2014/04/16 03:00:00",6191.88,44.18,TRADE
NSW1,"2014/04/16 03:30:00",6046.92,43.8,TRADE
NSW1,"2014/04/16 04:00:00",6022.87,43.83,TRADE
NSW1,"2014/04/16 04:30:00",5996,43.78,TRADE
NSW1,"2014/04/16 05:00:00",6084.19,44.55,TRADE
NSW1,"2014/04/16 05:30:00",6350.52,48.14,TRADE
NSW1,"2014/04/16 06:00:00",6693.32,48.65,TRADE
NSW1,"2014/04/16 06:30:00",7186.35,48.77,TRADE
NSW1,"2014/04/16 07:00:00",7539.67,48.74,TRADE
NSW1,"2014/04/16 07:30:00",7748.82,48.06,TRADE
NSW1,"2014/04/16 08:00:00",7991.57,49.29,TRADE
NSW1,"2014/04/16 08:30:00",8126.57,49.18,TRADE
NSW1,"2014/04/16 09:00:00",8197.24,49.23,TRADE
NSW1,"2014/04/16 09:30:00",8332.95,49.8,TRADE
NSW1,"2014/04/16 10:00:00",8314.63,48.71,TRADE
NSW1,"2014/04/16 10:30:00",8336.51,48.67,TRADE
NSW1,"2014/04/16 11:00:00",8311.74,49.24,TRADE
NSW1,"2014/04/16 11:30:00",8266.63,48.73,TRADE
NSW1,"2014/04/16 12:00:00",8210.37,48.72,TRADE
NSW1,"2014/04/16 12:30:00",8208.45,48.67,TRADE
