100,NEM12,2.0131E+11,TCAUSTM,ENGYAUST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,4103794252,E1,1,E1,N1,25306,KWH,30,20131010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,20110721,2.738,2.713,2.763,3.025,2.875,2.925,3.05,3.075,3.05,3.025,3.038,3.138,3.075,2.8,3.65,6.588,6.788,7.138,9.45,9.038,8.963,9.3,8.775,8.825,8.488,9.413,8.138,9.6,8.55,9.138,8.4,8.85,8.338,8.8,7.263,6.513,5.825,6.025,5.2,3.075,4.125,4.325,4.5,4.375,3.888,2.65,2.675,2.525,A,,,2.01108E+13,2.01108E+13
300,20110722,2.638,2.663,2.713,2.8,2.813,2.688,2.675,2.95,2.825,2.975,2.888,2.8,2.863,3.025,4.538,6.5,6.4,7.075,8.175,7.9,8.113,7.75,8.575,8.35,9.413,8.563,9.213,9.275,9.088,9.325,8.975,9.3,8.975,8.375,7.4,6.675,4.888,3.088,2.613,3.625,3.113,3.35,3.075,3.363,3.363,3.363,3.363,3.563,A,,,2.01108E+13,2.01108E+13
300,20110723,3.363,3.625,3.35,3.638,3.463,3.55,3.638,3.525,3.688,3.575,3.6,3.638,3.813,3.6,3.75,3.638,3.763,3.675,3.663,3.588,3.6,3.338,3.35,3.338,3.313,3.363,3.088,3.175,3.013,3.288,2.913,3.288,3.088,3.338,3.1,3.363,3.113,3.35,3.363,3.388,3.375,3.4,3.425,3.413,3.363,3.613,3.388,3.65,A,,,2.01108E+13,2.01108E+13
300,20110724,3.438,3.8,3.713,3.675,3.663,3.95,3.938,3.938,3.95,3.938,4.113,4.163,4.075,4.2,4.225,4.125,4.238,4.113,3.95,4,3.775,3.825,3.75,3.788,3.95,3.713,3.65,3.675,3.65,3.663,3.613,3.638,3.688,3.7,3.7,3.95,4.75,3.663,3.613,4.663,3.775,3.413,3.663,3.375,3.675,3.413,3.6,3.538,A,,,2.01108E+13,2.01108E+13
300,20110725,3.5,3.675,3.675,3.675,3.688,3.788,3.863,3.65,3.638,3.663,3.813,3.638,3.688,3.675,4.188,6.75,8.15,8.175,9.413,9.538,8.95,10.375,9.7,9.263,9.338,9.138,8.988,8.975,9.063,9.013,9.238,8.725,8.9,8.225,7.025,6.038,5.613,5.575,5.363,3.85,4.088,3.3,3.388,3.425,3.638,3.65,3.65,3.65,A,,,2.01201E+13,2.01201E+13
300,20110726,3.663,3.625,3.913,3.638,3.913,3.763,3.825,3.875,3.675,3.95,4.088,3.95,3.938,3.925,4.638,6.25,7.425,8.475,9.175,8.988,9.525,9.038,8.863,8.513,8.438,8.35,8.413,7.763,8.113,8.138,8.113,7.525,8.313,8.6,6.038,5.15,5.638,5.475,4.913,5.225,5.075,4.838,2.763,3,2.963,3,3.075,3.013,A,,,2.01201E+13,2.01201E+13
300,20110727,3.15,3.163,3.2,3.213,3.2,3.45,3.213,3.45,3.438,3.45,3.488,3.488,3.488,3.625,4.063,4.988,6.15,7.238,10.025,9.313,9.413,8.638,8.525,8.863,8.325,8.05,8.525,8.475,8.063,8,8.063,7.95,6.538,6.875,6.288,5.725,5.763,5.763,5,4.85,4.85,4.025,2.775,2.813,3.088,2.85,3.075,3.038,A,,,2.01201E+13,2.01201E+13
300,20110728,3.05,3.088,3.075,3.363,3.063,3.288,3.275,3.088,3.313,3.313,3.3,3.35,3.663,3.388,4,5.413,5.688,8.075,8.738,9.4,8.238,8.875,7.813,8.675,7.725,7.688,7.375,7.325,7.75,6.663,6.4,6.563,5.388,6.025,5.525,5.325,5.475,5.025,4.375,4.525,4.7,4.075,2.838,2.825,3.05,2.825,3,3.05,A,,,2.01201E+13,2.01201E+13
300,20110729,3.2,3.163,3.313,3.488,3.55,3.538,3.688,3.65,3.688,3.638,3.738,3.6,3.838,3.75,4.638,6.475,7.113,7.738,9.663,8.263,8.163,8.375,8.15,7.563,7.925,8.125,7.388,7,6.8,6.425,6.6,5.55,5.95,6.413,5.6,5.488,5.325,5.713,5.05,4.725,3.875,3.1,2.5,2.488,2.85,2.413,2.588,2.65,A,,,2.01201E+13,2.01201E+13
300,20110730,2.925,2.938,3.113,3.1,3.125,3.1,3.288,3.225,3.388,3.1,3.338,3.338,3.338,3.375,3.375,3.375,3.413,3.463,3.188,3.375,3.088,3.075,3.075,3.075,2.663,2.425,2.225,2.338,2.325,2.225,2.238,2.113,2.313,2.125,2.338,2.35,2.375,2.375,2.375,2.525,2.413,2.538,2.425,2.513,2.475,2.588,2.625,2.488,A,,,2.01201E+13,2.01201E+13
